,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.089653134,-0.5996724,0.15856655,0.74341923,0.2562536,-0.6730727,0.2828881,0.7313182,1.1867602,-0.17243582,-2.0786827,-0.5372676,1.7034903,1.211357,-1.067425,-1.0002637,-0.012253004,2.0419428,0.3876323,2.5008707
0,0.36267602,-0.34502086,0.4875266,1.1152407,-0.40832436,-0.15968533,1.1685432,1.7300771,1.0126432,1.0051376,-2.0319412,-1.0296745,2.3415198,-0.31875458,-0.15800875,-0.6463876,-0.2986064,1.7708579,-1.2185676,1.6967673
0,-0.31398648,-0.7035552,0.13063715,1.5419679,0.89064497,-0.23611061,0.35151607,0.6573831,0.4458045,1.897995,-1.0393157,0.048409052,-0.63917834,0.43350443,1.0098922,-1.4208549,0.024192704,1.3016734,0.49837455,1.9347728
0,0.18570991,1.4921815,-0.39359468,1.4006138,-0.35689905,0.7937218,1.90736,1.4143031,0.9373674,0.11645821,-0.95729834,0.58512866,-1.2757498,0.56282383,1.6825323,-0.07812685,-1.8352408,2.9376369,-1.7587805,1.684684
0,-2.7678747,-1.4178226,-0.67813915,1.7271358,1.5128397,-1.4651278,1.1736506,2.1139781,0.8194144,0.30711526,-2.7822075,-1.964211,-0.370855,-0.015514628,-0.310355,-0.119961336,-0.4352336,3.0209749,0.13794,0.85834736
0,-1.1231282,-2.2463746,-1.3799753,1.1589705,0.46950898,0.22217101,1.1783997,0.98773915,0.5733697,1.1212021,-2.2519119,-1.1292543,-0.6775815,0.48574206,1.130492,-0.123818696,0.06432386,1.8865902,0.1303415,0.54723614
0,-0.27331093,-1.7639688,0.57023185,1.7145233,-0.42582497,0.22711134,0.5481126,1.7899423,0.33558118,-0.5269283,-0.9095032,-0.36545193,0.033981152,1.425934,-0.68292373,-0.059033964,0.10152043,1.1941178,1.3729022,1.2778817
0,-1.4442357,-1.090678,-1.5297724,2.9582334,-0.87863195,-0.9996958,0.79547095,-0.37451428,-0.8330355,1.1963555,-2.2548025,0.37017518,1.050786,1.6460278,-2.6136236,-0.13347742,0.54678875,1.2697237,-0.015433353,2.013004
0,0.91101485,-2.515359,-0.05347258,0.852336,-0.538639,0.21651949,0.07618196,0.6485089,-0.2440254,0.37909526,0.43188867,-0.557964,-1.0773734,0.67246944,-0.54791236,-0.016198626,-1.3125507,0.95100933,-0.31625593,0.7386852
0,1.379092,-1.1275773,0.5257412,1.49622,1.1008372,-0.08584257,1.1609762,1.445597,-0.16881727,0.5603278,-0.83819115,-1.550249,-0.8204216,-0.11944784,-1.1137079,-1.5895051,-0.4713639,2.7786126,1.3525048,3.089313
0,0.5635317,-0.7794842,1.8720974,1.8112184,-0.44509357,0.3277548,1.2819316,1.4462897,0.86049527,-1.0553316,-0.8052894,0.124108486,0.25278148,-0.25756565,-0.015294974,-0.68786955,-0.5706235,2.2888818,-1.3297933,0.815926
0,-0.5351091,0.17840174,-0.13577075,1.7948158,-0.32731444,-1.194782,0.66150796,1.5132416,-0.9903009,-0.7376966,-0.8921721,-1.0367546,-0.6566564,0.08506335,-1.0100055,-2.0168426,-1.3514394,2.536999,-1.8804059,0.030265855
