,0,1,2,3,4,5,6,7,8,9
0,1.8783824,-1.1406138,-1.1898417,2.5725088,-1.9033548,-0.36744717,3.0258722,0.087093785,-1.1846975,0.9117334
0,2.6945016,0.6829298,-0.6323698,-0.39281726,-0.864671,-1.4306808,3.0332396,0.6238847,-0.43342453,0.75662947
0,2.4924068,-0.50368875,-1.3482502,1.2569546,-1.4181535,-0.45746964,2.2335494,0.5194722,0.5400659,0.7707724
0,1.7692064,-1.9615624,-0.9827664,-0.8174764,0.45656297,-2.425415,1.3988559,1.7235024,-1.3327785,0.42335197
0,1.1375029,-0.30265602,1.3425287,0.41855788,0.69032866,0.13210022,1.7796714,0.81826615,-0.53829426,2.557545
0,2.3979533,0.6795964,1.3518575,-0.5541532,-0.43406674,-0.1154659,2.5501618,-0.6658767,0.64224136,0.44883892
0,2.8393683,-0.44413733,-0.22518438,1.3005093,0.35356602,-0.622799,3.7447734,-0.32245648,0.59204245,1.1094724
0,2.0593154,-0.34238333,-0.3374404,0.8331896,-0.3239528,-1.0336444,3.1031287,0.20837319,0.54333085,1.0508145
0,2.1559393,0.19536027,0.17453761,0.9498001,0.10719637,0.72947,2.5673742,0.70494646,-1.0565517,-0.6938043
0,0.8135141,0.13083093,-0.16369322,-0.016232492,-0.7797465,-0.13163887,1.5042566,-0.112433,0.109444425,-0.078504324
0,3.5739677,-0.5220689,-1.978542,1.2522328,-0.847468,-1.2166835,3.0495105,0.10522866,-1.0302491,1.1493664
0,2.287767,0.9244525,0.5782279,1.2188358,-0.9054373,1.4744112,2.7042303,1.2064552,0.17362376,-0.09934551
0,1.9627535,-1.45095,-0.90959877,-0.5706663,-0.14421774,-2.7750664,3.7154858,0.7656484,0.41441143,1.1852889
0,2.5297935,-0.8110898,0.12679853,-0.3855904,-0.10362837,-0.35183492,3.4280658,0.77459097,-0.466288,1.6145355
0,2.8891966,-1.452233,-0.2353677,1.0070505,0.5496211,-0.21398391,1.7888254,0.6986606,0.019074313,1.4715255
0,3.603072,-0.55836266,0.532042,1.5211992,-0.87152594,0.42450732,2.3079584,-0.74196744,-0.43592972,0.5953487
0,2.719976,0.45734674,-0.11642492,-0.028010061,-0.31146228,0.237291,1.6151419,-0.66075414,0.59950006,0.49339098
0,2.941139,0.18677334,-0.5506842,1.0713097,1.3698841,0.18815888,3.7589495,0.6570406,-1.3325067,0.7430191
0,2.11859,-0.28536725,-0.2661052,-0.2606137,-0.22084689,-2.2668667,2.6732795,0.0482501,0.020461835,2.1861384
0,3.965682,0.6414192,-1.0382383,1.0824145,0.20118535,0.79527897,3.103026,-0.42678478,0.5704102,1.5261232
0,1.3298222,-0.40104264,0.52043355,0.255524,-2.2648966,-0.87300044,2.4581275,-1.602302,0.4784123,0.9897289
0,3.4047508,-2.0965173,-0.05139336,-0.082746476,0.120442726,-1.1665388,0.90428746,0.35850728,0.013661532,-0.19527861
0,2.961948,-0.4524082,0.79766786,0.79104114,-0.28168067,-0.9161494,3.038952,0.6615402,1.43618,0.7977215
0,2.603332,-0.120293,0.7599504,0.1563659,-0.19611408,0.017114714,1.7661256,-0.35830903,0.2285158,0.5139213
0,2.1744213,0.088895515,-0.1505641,0.13149688,-0.60472476,-0.47386625,1.7106901,0.6613901,-0.35428417,0.04755051
0,2.28855,0.038262524,0.9085788,0.69105166,0.19035381,-0.07655508,2.7751813,-0.3142309,0.2921709,0.91878444
0,2.4203513,-0.21917762,0.49466217,-0.15119936,1.5494235,-0.43886882,3.5606694,1.6423417,0.058050945,2.3420887
0,0.82277507,0.8166999,0.24413852,0.13474363,1.2494129,-1.0638155,1.9005257,-1.1751477,0.5513297,-1.8156008
0,3.186285,-0.7518671,0.01854738,0.078393444,-1.3396285,-0.3834965,1.9876598,0.9095747,0.18924439,0.033858158
0,2.8389814,0.04722445,-1.3528343,-1.0002587,-1.1146555,0.89661324,0.44180265,2.333106,-0.06286647,0.611739
0,2.2013662,-1.3124999,0.26100492,0.7753872,0.046483353,-0.45704204,0.9945372,-0.25105402,-1.0073228,0.83353764
0,1.50736,0.5422617,0.62041086,1.5112902,0.1651503,0.38876438,1.4577012,-0.0932494,-0.98469627,-1.173996
0,2.865342,0.7832613,0.38857543,0.87548995,-1.4464334,-0.4179684,3.1327524,-0.90112716,0.15771052,-1.8674085
0,3.145583,0.13698523,0.2794128,0.29361147,-0.79245806,-0.9431213,2.501801,0.5822563,-0.80512166,0.27247205
0,1.6537377,-0.73882693,0.06968749,0.47825485,-0.325024,-0.09796358,2.189503,1.3968073,0.36009508,-0.46636915
0,0.89098907,0.0025553321,-1.0262694,0.6236827,0.08084059,-0.78257465,2.541054,1.1215858,-0.30219427,2.0432637
0,2.7516108,0.028915456,0.8289332,0.021428073,-1.7663994,0.6531461,2.16022,0.7544026,2.6471534,-0.37200284
